,JD,Body,RA,Dec,Dist,Dist_Sun
797,2274954.225629821,Sun,7.007958333333334,22.769777777777776,1.017,0.0
800,2274974.2283680467,Sun,8.354894444444444,19.53163888888889,1.015,0.0
803,2274994.2311062724,Sun,9.640038888888888,14.136,1.011,0.0
806,2275014.233844498,Sun,10.868500000000001,7.231888888888889,1.006,0.0
809,2275034.236582724,Sun,12.071127777777777,0.4663333333333333,1.001,0.0
812,2275054.2393209497,Sun,13.290641666666666,-7.795277777777778,0.995,0.0
815,2275074.2420591754,Sun,14.569452777777778,-14.838472222222222,0.99,0.0
818,2275094.244797401,Sun,15.93625,-19.548111111111112,0.986,0.0
821,2275114.247535627,Sun,17.38487222222222,-22.76913888888889,0.984,0.0
824,2275134.2502738526,Sun,18.864033333333335,-21.03386111111111,0.983,0.0
827,2275154.2530120783,Sun,20.303875,-18.296333333333333,0.985,0.0
830,2275174.255750304,Sun,21.659988888888886,-13.961027777777778,0.988,0.0
833,2275194.25848853,Sun,22.931758333333335,-5.1546111111111115,0.993,0.0
836,2275214.2612267556,Sun,0.1511611111111111,0.9849722222222221,0.999,0.0
839,2275234.2639649813,Sun,1.3622888888888889,8.631916666666667,1.005,0.0
842,2275254.266703207,Sun,2.6056805555555558,15.330222222222222,1.01,0.0
845,2275274.269441433,Sun,3.9076138888888887,20.364305555555557,1.014,0.0
848,2275294.2721796585,Sun,5.267252777777777,23.11452777777778,1.016,0.0
851,2275314.2749178843,Sun,6.651050000000001,23.195444444444444,1.017,0.0
854,2275334.27765611,Sun,8.010613888888889,20.603166666666667,1.015,0.0
857,2275354.2803943357,Sun,9.312461111111112,15.710666666666667,1.012,0.0
860,2275374.2831325615,Sun,10.553544444444444,9.130777777777778,1.008,0.0
863,2275394.285870787,Sun,11.758916666666666,1.5689166666666667,1.002,0.0
866,2275414.288609013,Sun,12.969683333333334,-5.7651666666666666,0.996,0.0
869,2275434.2913472387,Sun,14.22963888888889,-12.520944444444444,0.991,0.0
872,2275454.2940854644,Sun,15.572366666666666,-18.711555555555552,0.987,0.0
875,2275474.29682369,Sun,17.002933333333335,-21.210666666666665,0.984,0.0
878,2275494.299561916,Sun,18.48111944444444,-22.66327777777778,0.983,0.0
881,2275514.3023001417,Sun,19.93705277777778,-19.18627777777778,0.984,0.0
884,2275534.3050383674,Sun,21.316608333333335,-14.305361111111111,0.987,0.0
887,2275554.307776593,Sun,22.608261111111112,-7.1906388888888895,0.992,0.0
890,2275574.310514819,Sun,23.837191666666666,-0.9374722222222222,0.998,0.0
893,2275594.3132530446,Sun,1.0461027777777778,6.706916666666666,1.003,0.0
896,2275614.3159912704,Sun,2.2779166666666666,13.723583333333334,1.009,0.0
899,2275634.318729496,Sun,3.5634083333333333,19.254916666666666,1.013,0.0
902,2275654.321467722,Sun,4.9099,22.647444444444442,1.016,0.0
905,2275674.3242059476,Sun,6.292080555555556,23.439222222222224,1.017,0.0
908,2275694.3269441733,Sun,7.662263888888889,21.51872222222222,1.016,0.0
911,2275714.329682399,Sun,8.980566666666666,17.171750000000003,1.013,0.0
914,2275734.332420625,Sun,10.236099999999999,10.963222222222221,1.009,0.0
917,2275754.3351588505,Sun,11.447336111111111,3.585888888888889,1.004,0.0
920,2275774.3378970763,Sun,12.652347222222222,-3.7712499999999998,0.998,0.0
923,2275794.340635302,Sun,13.89575,-10.299055555555556,0.992,0.0
926,2275814.3433735278,Sun,15.215141666666666,-16.02991666666667,0.988,0.0
929,2275834.3461117535,Sun,16.62481111111111,-21.853583333333333,0.984,0.0
932,2275854.348849979,Sun,18.096874999999997,-22.50336111111111,0.983,0.0
935,2275874.351588205,Sun,19.565319444444444,-20.254083333333334,0.984,0.0
938,2275894.3543264307,Sun,20.967391666666664,-16.770055555555558,0.987,0.0
941,2275914.3570646564,Sun,22.280508333333334,-9.284638888888889,0.991,0.0
944,2275934.359802882,Sun,23.522005555555555,-2.8920833333333333,0.996,0.0
947,2275954.362541108,Sun,0.7315944444444444,4.731055555555556,1.002,0.0
950,2275974.3652793337,Sun,1.9537527777777777,12.015416666666667,1.007,0.0
953,2275994.3680175594,Sun,3.2235583333333335,18.000611111111112,1.012,0.0
